Row Type,Campaign,Ad group,Keyword,Match Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Description 1 position,Description 2 position,Description 3 position,Description 4 position
Keyword,search / all injuries / geo - la specific,Personal Injury,personal injury lawyer,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / geo - la specific,Personal Injury,personal injury lawyers,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / geo - la specific,Personal Injury,personal injury attorney,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / geo - la specific,Personal Injury,personal injury attorneys,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / geo - la specific,Personal Injury,personal injury law firm,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / geo - la specific,Personal Injury,personal injury law firms,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsive search ad,search / all injuries / geo - la specific,Personal Injury,,,https://landverpersonalinjury.com/,Suffered a Physical Injury?,Top Physical Injury Attorney,CA Physical Injury Lawyers,Top-Rated California Attorneys,Ex-Insurance Defense Lawyers,We Fight For Max Compensation,Millions Secured For Victims,We Know How Insurers Think,No Fee Unless We Win,We Cover All Case Costs,100% Free Consultation 24/7,Direct Access To Your Lawyer,Speak To An Attorney Now,{KeyWord:Physical Injury Lawyer CA},Injured In {LOCATION(City):California}?,1,1,1,2,2,2,2,2,3,3,3,3,3,1,1,Suffered a physical injury in CA? We cover all case costs. No fee unless we win. Call 24/7,Former insurance defense attorneys on your side. We know how they think & how to win.,Securing millions for accident victims statewide. Get the max settlement you deserve.,45 years injury law experience. $38.5M+ verdicts. 100% Free injury consultation.,1,2,2,2
Keyword,search / all injuries / kw -  la specific,Personal Injury LA,personal injury lawyer LA,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / kw -  la specific,Personal Injury LA,personal injury lawyer Los Angeles,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,search / all injuries / kw -  la specific,Personal Injury LA,personal injury lawyers LA,PHRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
